"document_id","timestamp","state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"1","1518533982","Andhra Pradesh","Anantapur","Anantapur","Mousambi(Sweet Lime)","Mousambi","13/02/2018","1500","3100","1800"
"2","1518533982","Andhra Pradesh","Anantapur","Hindupur","Dry Chillies","1st Sort","13/02/2018","6000","12500","9250"
"3","1518533982","Andhra Pradesh","Anantapur","Hindupur","Dry Chillies","2nd Sort","13/02/2018","3000","5200","4100"
"4","1518533982","Andhra Pradesh","Anantapur","Hindupur","Tamarind Fruit","Non A/c Fine","13/02/2018","5500","23000","14250"
"5","1518533982","Andhra Pradesh","Anantapur","Hindupur","Tamarind Fruit","Non A/c Flower","13/02/2018","4900","21000","12950"
"6","1518533982","Andhra Pradesh","Anantapur","Hindupur","Tamarind Fruit","With Seed 1Variety","13/02/2018","4000","5000","4500"
"7","1518533982","Andhra Pradesh","Chittor","Mulakalacheruvu","Tomato","Local","13/02/2018","50","200","150"
"8","1518533982","Andhra Pradesh","Chittor","Palamaner","Beetroot","Beetroot","13/02/2018","250","500","350"
"9","1518533982","Andhra Pradesh","Chittor","Palamaner","Bhindi(Ladies Finger)","Bhindi","13/02/2018","600","1000","800"
"10","1518533982","Andhra Pradesh","Chittor","Palamaner","Bitter gourd","Bitter Gourd","13/02/2018","200","600","400"
"11","1518533982","Andhra Pradesh","Chittor","Palamaner","Bottle gourd","Bottle Gourd","13/02/2018","150","250","200"
"12","1518533982","Andhra Pradesh","Chittor","Palamaner","Brinjal","Brinjal","13/02/2018","150","250","200"
"13","1518533982","Andhra Pradesh","Chittor","Palamaner","Carrot","Carrot","13/02/2018","100","400","250"
"14","1518533982","Andhra Pradesh","Chittor","Palamaner","Cauliflower","Cauliflower","13/02/2018","300","500","400"
"15","1518533982","Andhra Pradesh","Chittor","Palamaner","Cluster beans","Cluster Beans","13/02/2018","400","800","600"
"16","1518533982","Andhra Pradesh","Chittor","Palamaner","Cucumbar(Kheera)","Cucumbar","13/02/2018","600","1000","800"
"17","1518533982","Andhra Pradesh","Chittor","Palamaner","Green Chilli","Green Chilly","13/02/2018","1000","2000","1500"
"18","1518533982","Andhra Pradesh","Chittor","Palamaner","Potato","Potato","13/02/2018","800","1200","1000"
"19","1518533982","Andhra Pradesh","Chittor","Palamaner","Raddish","Raddish","13/02/2018","300","500","400"
